ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),combined_text
A654,Indicator Chip Very Fast Movement 0.68A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ,Very Fast,,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.68A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,indicator chip very fast movement 0 68a 32v smd solder pad 0603 epoxy t r csa ul battery pack cell phone digital camera dvd player hard disk drive epoxy 1 6 x 0 81 x 0 31mm
A656,"Indicator Chip Very Fast Movement 0.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA Electric Indicator, Very Fast Blow, 0.75A, 32VAC, 32VDC, 50A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 50 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.81mm,0.31mm,1.6mm,0.75A,Epoxy,1.6 X 0.81 X 0.31mm,e3,0.0171J,High,32V,32V,,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,50A,0.75A,,32V,32V,indicator chip very fast movement 0 75a 32v smd solder pad 0603 epoxy t r csa electric indicator very fast blow 0 75a 32vac 32vdc 50a ir surface mount battery pack cell phone digital camera dvd player hard disk drive very fast epoxy 1 6 x 0 81 x 0 31mm
A657,Indicator Chip Very Fast Movement 0.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA ,Very Fast,,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,,,,,0.75A,Epoxy,1.6 X 0.81 X 0.31mm,,,High,32V,32V,,Surface Mount,,2.0,,,,,,1.6mm,,,,,,indicator chip very fast movement 0 75a 32v smd solder pad 0603 epoxy t r csa battery pack cell phone digital camera dvd player hard disk drive epoxy 1 6 x 0 81 x 0 31mm
A658,"Indicator Chip Very Fast Movement 1A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 1A, 32VDC, 35A (IR), Surface Mount, 0402",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,1A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.02J,Low,,32V,0.08745W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,1A,32V,,32V,indicator chip very fast movement 1a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 1a 32vdc 35a ir surface mount 0402 battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A659,"Indicator Chip Very Fast Movement 1A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 1A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0200",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,1A,Epoxy Glass,NANO,e3,0.02J,Low,,32V,0.08745W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,1A,32V,,32V,indicator chip very fast movement 1a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 1a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A661,"Indicator Chip Very Fast Movement 2A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 2A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,2A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.1J,Low,,32V,0.1412W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,2A,,,32V,indicator chip very fast movement 2a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 2a 32vdc 35a ir surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A662,"Indicator Chip Very Fast Movement 2A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 2A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.1000",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,2A,Epoxy Glass,NANO,e3,0.1J,Low,,32V,0.1412W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,2A,32V,,32V,indicator chip very fast movement 2a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 2a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A663,"Indicator Chip Very Fast Movement 3A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 3A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,3A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.2032J,Low,,32V,0.1874W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,3A,,,32V,indicator chip very fast movement 3a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 3a 32vdc surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A664,"Indicator Chip Very Fast Movement 3A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 3A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.2032",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,3A,Epoxy Glass,NANO,e3,0.2032J,Low,,32V,0.1874W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,3A,32V,,32V,indicator chip very fast movement 3a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 3a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A665,"Indicator Chip Very Fast Movement 4A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 4A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,4A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.3084J,Low,,32V,0.228W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,4A,,,32V,indicator chip very fast movement 4a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 4a 32vdc surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A666,"Indicator Chip Very Fast Movement 4A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 4A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.3084",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,4A,Epoxy Glass,NANO,e3,0.3084J,Low,,32V,0.228W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,4A,32V,,32V,indicator chip very fast movement 4a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 4a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A667,"Indicator Chip Very Fast Movement 5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 5A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.531J,Low,,32V,0.2622W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,5A,,,32V,indicator chip very fast movement 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 5a 32vdc surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A668,"Indicator Chip Very Fast Movement 5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 5A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.5310",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,5A,Epoxy Glass,NANO,e3,0.531J,Low,,32V,0.2622W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,5A,32V,,32V,indicator chip very fast movement 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 5a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A670,"Indicator Chip Very Fast Movement 1.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 1.5A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,1.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.056J,Low,,32V,0.13005W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,1.5A,,,32V,indicator chip very fast movement 1 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 1 5a 32vdc 35a ir surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A671,"Indicator Chip Very Fast Movement 1.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 1.5A, 32VDC, 35A (IR), Surface Mount",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0560",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,1.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.056J,Low,,32V,0.13005W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,1.5A,,,32V,indicator chip very fast movement 1 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 1 5a 32vdc 35a ir surface mount battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass 1 04 x 0 56 x 0 38mm
A672,"Indicator Chip Very Fast Movement 2.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 2.5A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,2.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.156J,Low,,32V,0.13813W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,2.5A,,,32V,indicator chip very fast movement 2 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 2 5a 32vdc surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A673,"Indicator Chip Very Fast Movement 2.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 2.5A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.1560",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,2.5A,Epoxy Glass,NANO,e3,0.156J,Low,,32V,0.13813W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,2.5A,32V,,32V,indicator chip very fast movement 2 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 2 5a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A674,"Indicator Chip Very Fast Movement 3.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 3.5A, 32VDC, Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,3.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.3017J,Low,,32V,0.20244W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,,3.5A,,,32V,indicator chip very fast movement 3 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 3 5a 32vdc surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A675,"Indicator Chip Very Fast Movement 3.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 3.5A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.3017",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,3.5A,Epoxy Glass,NANO,e3,0.3017J,Low,,32V,0.20244W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,3.5A,32V,,32V,indicator chip very fast movement 3 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 3 5a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A677,"Indicator Chip Very Fast Movement 1.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 1.25A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,1.25A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.035J,Low,,32V,0.12046W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,1.25A,,,32V,indicator chip very fast movement 1 25a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 1 25a 32vdc 35a ir surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A678,"Indicator Chip Very Fast Movement 1.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 1.25A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0350",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,1.25A,Epoxy Glass,NANO,e3,0.035J,Low,,32V,0.12046W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,1.25A,32V,,32V,indicator chip very fast movement 1 25a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 1 25a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A680,"Indicator Chip Very Fast Movement 1.75A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 1.75A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,1.75A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.075J,Low,,32V,0.14198W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,1.75A,,,32V,indicator chip very fast movement 1 75a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 1 75a 32vdc 35a ir surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A681,"Indicator Chip Very Fast Movement 1.75A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 1.75A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0750",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,1.75A,Epoxy Glass,NANO,e3,0.075J,Low,,32V,0.14198W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,1.75A,32V,,32V,indicator chip very fast movement 1 75a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 1 75a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A682,"Indicator Chip Very Fast Movement 0.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 0.25A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,0.25A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.0025J,High,,32V,0.01517W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,0.25A,,,32V,indicator chip very fast movement 0 25a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 0 25a 32vdc 35a ir surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A683,"Indicator Chip Very Fast Movement 0.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 0.25A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0025",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,0.25A,Epoxy Glass,NANO,e3,0.0025J,High,,32V,0.027635W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,0.25A,32V,,32V,indicator chip very fast movement 0 25a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 0 25a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A684,"Indicator Chip Very Fast Movement 0.25A SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 0.25A, 32VAC, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.51mm,0.3mm,0.99mm,0.25A,Epoxy Glass,25.17 X 12.9 X 7.75mm,,0.003J,Low,,32V,0.01517W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,25.17mm,35A,0.25A,,32V,32V,indicator chip very fast movement 0 25a smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 0 25a 32vac 32vdc 35a ir surface mount battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass 25 17 x 12 9 x 7 75mm
A687,"Indicator Chip Very Fast Movement 0.375A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 0.375A, 32VDC, 35A (IR), Surface Mount, 0402",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,0.375A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.0035J,Low,,32V,0.03174W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,0.375A,32V,,32V,indicator chip very fast movement 0 375a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 0 375a 32vdc 35a ir surface mount 0402 battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A688,"Indicator Chip Very Fast Movement 0.375A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 0.375A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0035",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,0.375A,Epoxy Glass,NANO,e3,0.0035J,Low,,32V,0.03174W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,0.375A,32V,,32V,indicator chip very fast movement 0 375a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 0 375a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A689,"Indicator Chip Very Fast Movement 0.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 0.5A, 32VDC, 35A (IR), Supplemental, Surface Mount, 0402",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,0.5A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.0053J,Low,,32V,0.04668W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,0.5A,32V,,32V,indicator chip very fast movement 0 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 0 5a 32vdc 35a ir supplemental surface mount 0402 battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A690,"Indicator Chip Very Fast Movement 0.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 0.5A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0053",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,0.5A,Epoxy Glass,NANO,e3,0.0053J,Low,,32V,0.04668W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,0.5A,32V,,32V,indicator chip very fast movement 0 5a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 0 5a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
A691,"Indicator Chip Very Fast Movement 0.75A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Fast Blow, 0.75A, 32VDC, 35A (IR), Surface Mount",Very Fast,RATED BREAKING CAPACITY AT 32 VDC: 35 A,Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,FAST,0.51mm,0.3mm,0.99mm,0.75A,Epoxy Glass,1.04 X 0.56 X 0.38mm,e3,0.012J,Low,,32V,0.07638W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,0.99mm  x  0.51mm  x  0.3mm,,,1.04(Max)mm,35A,0.75A,,,32V,indicator chip very fast movement 0 75a 32v smd solder pad 0402 epoxy glass t r csa electric indicator fast blow 0 75a 32vdc 35a ir surface mount battery pack cell phone digital camera dvd player hard disk drive fast epoxy glass 1 04 x 0 56 x 0 38mm
A692,"Indicator Chip Very Fast Movement 0.75A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Indicator, Very Fast Blow, 0.75A, 32VDC, 35A (IR), Surface Mount, NANO",Very Fast,"RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0120",Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive,VERY FAST,0.56mm,0.38mm,1.04mm,0.75A,Epoxy Glass,NANO,e3,0.012J,Low,,32V,0.07638W,Surface Mount,SURFACE MOUNT,2.0,90Cel,-55Cel,1.04mm  x  0.56mm  x  0.38mm,,,1.04(Max)mm,35A,0.75A,32V,,32V,indicator chip very fast movement 0 75a 32v smd solder pad 0402 epoxy glass t r csa electric indicator very fast blow 0 75a 32vdc 35a ir surface mount nano battery pack cell phone digital camera dvd player hard disk drive very fast epoxy glass nano
